iso3,year,Predicted_In_Need,Predicted_Requirements,Predicted_Funding,iso3_original,Funding_Gap,Risk_Flag
CAF,2026,7649269.5,264686450.0,600066345.8081819,CAF,-335379897.8081819,False
CAF,2027,7649269.5,264686450.0,625275670.4452533,CAF,-360589222.44525325,False
CAF,2028,7649269.5,264686450.0,650484995.0823246,CAF,-385798547.0823246,False
CAF,2029,7649269.5,264686450.0,675763386.3622373,CAF,-411076938.36223733,False
CAF,2030,7649269.5,264686450.0,700972710.9993088,CAF,-436286262.9993088,False
CIV,2026,16628593.0,567348000.0,180999407.76959693,CIV,386348560.23040307,True
CIV,2027,16628593.0,567348000.0,186779625.09198105,CIV,380568342.90801895,True
CIV,2028,16628593.0,567348000.0,192559842.4143652,CIV,374788125.5856348,True
CIV,2029,16628593.0,567348000.0,198355895.94859147,CIV,368992072.0514085,True
CIV,2030,16628593.0,567348000.0,204136113.27097562,CIV,363211854.7290244,True
LBR,2026,16628593.0,567348000.0,0.0,CIV | LBR,567347968.0,True
LBR,2027,16628593.0,567348000.0,0.0,CIV | LBR,567347968.0,True
LBR,2028,16628593.0,567348000.0,0.0,CIV | LBR,567347968.0,True
LBR,2029,16628593.0,567348000.0,0.0,CIV | LBR,567347968.0,True
LBR,2030,16628593.0,567348000.0,0.0,CIV | LBR,567347968.0,True
GNB,2026,16628593.0,567348000.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | NGA | SEN | TGO | BFA | MRT | SLE | BEN | GNB,567347968.0,True
GNB,2027,16628593.0,567348000.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | NGA | SEN | TGO | BFA | MRT | SLE | BEN | GNB,567347968.0,True
GNB,2028,16628593.0,567348000.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | NGA | SEN | TGO | BFA | MRT | SLE | BEN | GNB,567347968.0,True
GNB,2029,16628593.0,567348000.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | NGA | SEN | TGO | BFA | MRT | SLE | BEN | GNB,567347968.0,True
GNB,2030,16628593.0,567348000.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | NGA | SEN | TGO | BFA | MRT | SLE | BEN | GNB,567347968.0,True
GNB,2026,16628593.0,567348000.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | CPV | GNB,567347968.0,True
GNB,2027,16628593.0,567348000.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | CPV | GNB,567347968.0,True
GNB,2028,16628593.0,567348000.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | CPV | GNB,567347968.0,True
GNB,2029,16628593.0,567348000.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | CPV | GNB,567347968.0,True
GNB,2030,16628593.0,567348000.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | CPV | GNB,567347968.0,True
GNB,2026,16628593.0,567348000.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | GNB,567347968.0,True
GNB,2027,16628593.0,567348000.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | GNB,567347968.0,True
GNB,2028,16628593.0,567348000.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | GNB,567347968.0,True
GNB,2029,16628593.0,567348000.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | GNB,567347968.0,True
GNB,2030,16628593.0,567348000.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | GNB,567347968.0,True
CMR,2026,15114539.0,308269700.0,440859789.86150104,CMR,-132590093.86150104,False
CMR,2027,15114539.0,308269700.0,460656237.5347073,CMR,-152386541.5347073,False
CMR,2028,15114539.0,308269700.0,480452685.2079136,CMR,-172182989.20791358,False
CMR,2029,15114539.0,308269700.0,500303369.7240601,CMR,-192033673.72406012,False
CMR,2030,15114539.0,308269700.0,520099817.3972664,CMR,-211830121.3972664,False
COD,2026,90550100.0,1404045300.0,2302018701.4977765,COD,-897973389.4977765,False
COD,2027,90550100.0,1404045300.0,2395691010.72518,COD,-991645698.7251801,False
COD,2028,90550100.0,1404045300.0,2489363319.952584,COD,-1085318007.9525838,False
COD,2029,90550100.0,1404045300.0,2583292265.643625,COD,-1179246953.6436248,False
COD,2030,90550100.0,1404045300.0,2676964574.871028,COD,-1272919262.871028,False
COG,2026,16628593.0,567348000.0,17016575.41326812,COG,550331392.5867319,True
COG,2027,16628593.0,567348000.0,16457257.719373122,COG,550890710.2806269,True
COG,2028,16628593.0,567348000.0,15897940.025478123,COG,551450027.9745219,True
COG,2029,16628593.0,567348000.0,15337089.954339573,COG,552010878.0456604,True
